,gene,label,ST
2175,AC090673.1,OPCs_like_MYC3,0.0
2180,AC097450.1,OPCs_like_MYC3,0.0
2184,LINC01568,OPCs_like_MYC3,0.0
2188,AC136431.1,OPCs_like_MYC3,0.0
2189,AC067956.1,OPCs_like_MYC3,0.0
2193,AC010343.3,OPCs_like_MYC3,0.0
2197,AC019211.1,OPCs_like_MYC3,0.0
2690,AC063944.1,OPCs_like_MYC7,0.0
2689,AC112493.1,OPCs_like_MYC7,0.0
2200,AP005230.1,OPCs_like_MYC3,0.0
2201,IDO2,OPCs_like_MYC3,0.0
2202,AP001021.3,OPCs_like_MYC3,0.0
67,AC114971.1,Astrocytes,0.0
2208,LINC01692,OPCs_like_MYC3,0.0
2212,AC010601.1,OPCs_like_MYC3,0.0
2213,AP001341.1,OPCs_like_MYC3,0.0
735,FRMPD4,Glutamatergic,0.0
725,RYR2,Glutamatergic,0.0
718,CNTN5,Glutamatergic,0.0
2766,LHFPL3,Pre_OLs,0.0
